@Relation x
@attribute A1 real
@attribute A2 real
@data
21.00,36.00
21.00,38.00
21.00,39.00
21.00,43.00
21.00,44.00
21.00,47.00
21.00,48.00
21.00,49.00
21.00,52.00
21.00,53.00
21.00,54.00
22.00,26.00
22.00,27.00
22.00,28.00
22.00,30.00
22.00,31.00
22.00,32.00
22.00,33.00
22.00,34.00
22.00,35.00
22.00,36.00
22.00,37.00
22.00,39.00
22.00,40.00
22.00,43.00
22.00,44.00
22.00,45.00
22.00,46.00
22.00,49.00
22.00,50.00
22.00,52.00
22.00,53.00
22.00,54.00
22.00,55.00
22.00,56.00
23.00,25.00
23.00,26.00
23.00,27.00
23.00,28.00
23.00,29.00
23.00,31.00
23.00,32.00
23.00,33.00
23.00,34.00
23.00,35.00
23.00,36.00
23.00,38.00
23.00,39.00
23.00,40.00
23.00,41.00
23.00,42.00
23.00,43.00
23.00,45.00
23.00,47.00
23.00,48.00
23.00,51.00
23.00,55.00
24.00,22.00
24.00,24.00
24.00,25.00
24.00,28.00
24.00,29.00
24.00,31.00
24.00,32.00
24.00,33.00
24.00,34.00
24.00,35.00
24.00,36.00
24.00,37.00
24.00,38.00
24.00,39.00
24.00,40.00
24.00,44.00
24.00,45.00
24.00,47.00
24.00,48.00
24.00,50.00
24.00,51.00
24.00,52.00
24.00,53.00
24.00,54.00
24.00,55.00
24.00,56.00
25.00,22.00
25.00,23.00
25.00,24.00
25.00,25.00
25.00,28.00
25.00,29.00
25.00,34.00
25.00,35.00
25.00,36.00
25.00,38.00
25.00,39.00
25.00,40.00
25.00,41.00
25.00,42.00
25.00,46.00
25.00,47.00
25.00,48.00
25.00,49.00
25.00,50.00
25.00,51.00
25.00,54.00
25.00,55.00
25.00,56.00
25.00,57.00
26.00,20.00
26.00,21.00
26.00,22.00
26.00,23.00
26.00,25.00
26.00,27.00
26.00,28.00
26.00,29.00
26.00,30.00
26.00,31.00
26.00,34.00
26.00,35.00
26.00,36.00
26.00,37.00
26.00,38.00
26.00,39.00
26.00,40.00
26.00,41.00
26.00,44.00
26.00,45.00
26.00,46.00
26.00,47.00
26.00,49.00
26.00,50.00
26.00,51.00
26.00,52.00
26.00,53.00
26.00,55.00
27.00,20.00
27.00,21.00
27.00,22.00
27.00,28.00
27.00,29.00
27.00,30.00
27.00,31.00
27.00,32.00
27.00,33.00
27.00,34.00
27.00,35.00
27.00,36.00
27.00,38.00
27.00,41.00
27.00,42.00
27.00,43.00
27.00,44.00
27.00,48.00
27.00,49.00
27.00,50.00
27.00,51.00
28.00,19.00
28.00,21.00
28.00,22.00
28.00,23.00
28.00,25.00
28.00,26.00
28.00,28.00
28.00,29.00
28.00,30.00
28.00,31.00
28.00,32.00
28.00,34.00
28.00,35.00
28.00,43.00
28.00,44.00
28.00,45.00
28.00,47.00
28.00,48.00
28.00,52.00
28.00,53.00
28.00,54.00
29.00,18.00
29.00,19.00
29.00,20.00
29.00,21.00
29.00,22.00
29.00,23.00
29.00,24.00
29.00,25.00
29.00,27.00
29.00,29.00
29.00,35.00
29.00,36.00
29.00,37.00
29.00,38.00
29.00,42.00
29.00,43.00
29.00,44.00
29.00,45.00
29.00,46.00
29.00,47.00
29.00,49.00
29.00,51.00
29.00,52.00
29.00,53.00
30.00,18.00
30.00,20.00
30.00,21.00
30.00,22.00
30.00,24.00
30.00,25.00
30.00,27.00
30.00,33.00
30.00,34.00
30.00,37.00
30.00,41.00
30.00,42.00
30.00,43.00
30.00,46.00
30.00,47.00
30.00,48.00
30.00,49.00
31.00,18.00
31.00,21.00
31.00,22.00
31.00,23.00
31.00,24.00
31.00,25.00
31.00,40.00
31.00,43.00
31.00,47.00
31.00,65.00
31.00,66.00
32.00,17.00
32.00,21.00
32.00,22.00
32.00,23.00
32.00,24.00
32.00,57.00
32.00,61.00
32.00,63.00
32.00,64.00
32.00,65.00
32.00,67.00
32.00,69.00
33.00,18.00
33.00,19.00
33.00,20.00
33.00,21.00
33.00,22.00
33.00,23.00
33.00,24.00
33.00,25.00
33.00,58.00
33.00,60.00
33.00,61.00
33.00,62.00
33.00,63.00
33.00,64.00
33.00,66.00
33.00,68.00
33.00,72.00
33.00,74.00
34.00,18.00
34.00,19.00
34.00,23.00
34.00,24.00
34.00,25.00
34.00,55.00
34.00,56.00
34.00,57.00
34.00,58.00
34.00,61.00
34.00,62.00
34.00,68.00
34.00,69.00
34.00,70.00
34.00,71.00
34.00,72.00
34.00,74.00
34.00,75.00
35.00,21.00
35.00,22.00
35.00,23.00
35.00,24.00
35.00,53.00
35.00,54.00
35.00,55.00
35.00,62.00
35.00,66.00
35.00,67.00
35.00,68.00
35.00,69.00
35.00,71.00
35.00,72.00
35.00,73.00
36.00,20.00
36.00,21.00
36.00,23.00
36.00,24.00
36.00,52.00
36.00,53.00
36.00,54.00
36.00,55.00
36.00,56.00
36.00,57.00
36.00,58.00
36.00,59.00
36.00,60.00
36.00,61.00
36.00,64.00
36.00,65.00
36.00,66.00
36.00,68.00
36.00,73.00
36.00,74.00
36.00,75.00
36.00,76.00
36.00,77.00
37.00,17.00
37.00,19.00
37.00,20.00
37.00,21.00
37.00,22.00
37.00,23.00
37.00,24.00
37.00,51.00
37.00,52.00
37.00,53.00
37.00,54.00
37.00,55.00
37.00,57.00
37.00,58.00
37.00,59.00
37.00,60.00
37.00,61.00
37.00,62.00
37.00,64.00
37.00,65.00
37.00,66.00
37.00,67.00
37.00,70.00
37.00,71.00
37.00,72.00
37.00,75.00
37.00,76.00
38.00,17.00
38.00,19.00
38.00,20.00
38.00,22.00
38.00,23.00
38.00,25.00
38.00,50.00
38.00,51.00
38.00,52.00
38.00,53.00
38.00,54.00
38.00,56.00
38.00,57.00
38.00,58.00
38.00,60.00
38.00,62.00
38.00,63.00
38.00,64.00
38.00,65.00
38.00,66.00
38.00,72.00
38.00,77.00
38.00,78.00
39.00,17.00
39.00,18.00
39.00,19.00
39.00,20.00
39.00,22.00
39.00,23.00
39.00,24.00
39.00,50.00
39.00,51.00
39.00,52.00
39.00,53.00
39.00,54.00
39.00,56.00
39.00,58.00
39.00,59.00
39.00,60.00
39.00,61.00
39.00,62.00
39.00,66.00
39.00,67.00
39.00,69.00
39.00,72.00
39.00,73.00
39.00,74.00
39.00,75.00
39.00,77.00
40.00,17.00
40.00,24.00
40.00,50.00
40.00,51.00
40.00,53.00
40.00,54.00
40.00,55.00
40.00,56.00
