@Relation x
@attribute A1 real
@attribute A2 real
@data
17.00,39.00
17.00,70.00
17.00,71.00
17.00,72.00
17.00,73.00
17.00,74.00
18.00,36.00
18.00,37.00
18.00,38.00
18.00,40.00
18.00,41.00
18.00,42.00
18.00,43.00
18.00,45.00
18.00,46.00
18.00,48.00
18.00,70.00
18.00,71.00
18.00,72.00
18.00,73.00
18.00,74.00
19.00,35.00
19.00,36.00
19.00,37.00
19.00,39.00
19.00,40.00
19.00,41.00
19.00,43.00
19.00,44.00
19.00,45.00
19.00,46.00
19.00,50.00
19.00,69.00
19.00,71.00
19.00,72.00
19.00,73.00
19.00,74.00
19.00,75.00
19.00,76.00
20.00,33.00
20.00,34.00
20.00,35.00
20.00,36.00
20.00,37.00
20.00,38.00
20.00,40.00
20.00,41.00
20.00,42.00
20.00,43.00
20.00,44.00
20.00,45.00
20.00,47.00
20.00,48.00
20.00,49.00
20.00,50.00
20.00,51.00
20.00,52.00
20.00,69.00
20.00,70.00
20.00,73.00
20.00,74.00
20.00,75.00
21.00,30.00
21.00,34.00
21.00,36.00
21.00,37.00
21.00,39.00
21.00,40.00
21.00,43.00
21.00,44.00
21.00,45.00
21.00,47.00
21.00,48.00
21.00,49.00
21.00,50.00
21.00,51.00
21.00,52.00
21.00,53.00
21.00,54.00
21.00,55.00
21.00,65.00
21.00,68.00
21.00,72.00
21.00,73.00
21.00,75.00
21.00,76.00
22.00,29.00
22.00,32.00
22.00,33.00
22.00,34.00
22.00,35.00
22.00,37.00
22.00,38.00
22.00,41.00
22.00,42.00
22.00,44.00
22.00,46.00
22.00,48.00
22.00,49.00
22.00,54.00
22.00,55.00
22.00,56.00
22.00,64.00
22.00,65.00
22.00,66.00
22.00,67.00
22.00,69.00
22.00,70.00
22.00,73.00
22.00,75.00
22.00,76.00
23.00,30.00
23.00,31.00
23.00,34.00
23.00,35.00
23.00,36.00
23.00,37.00
23.00,38.00
23.00,39.00
23.00,40.00
23.00,41.00
23.00,42.00
23.00,43.00
23.00,45.00
23.00,47.00
23.00,48.00
23.00,49.00
23.00,50.00
23.00,51.00
23.00,52.00
23.00,56.00
23.00,62.00
23.00,63.00
23.00,64.00
23.00,65.00
23.00,66.00
23.00,68.00
23.00,69.00
23.00,72.00
23.00,73.00
23.00,74.00
23.00,75.00
24.00,28.00
24.00,29.00
24.00,30.00
24.00,31.00
24.00,32.00
24.00,35.00
24.00,36.00
24.00,38.00
24.00,39.00
24.00,44.00
24.00,46.00
24.00,49.00
24.00,50.00
24.00,51.00
24.00,52.00
24.00,54.00
24.00,55.00
24.00,58.00
24.00,66.00
24.00,67.00
24.00,68.00
24.00,73.00
24.00,74.00
25.00,26.00
25.00,27.00
25.00,28.00
25.00,33.00
25.00,34.00
25.00,36.00
25.00,37.00
25.00,38.00
25.00,41.00
25.00,45.00
25.00,46.00
25.00,47.00
25.00,48.00
25.00,49.00
25.00,51.00
25.00,53.00
25.00,63.00
25.00,64.00
25.00,66.00
25.00,69.00
25.00,73.00
26.00,25.00
26.00,26.00
26.00,27.00
26.00,28.00
26.00,29.00
26.00,30.00
26.00,31.00
26.00,32.00
26.00,33.00
26.00,34.00
26.00,35.00
26.00,36.00
26.00,40.00
26.00,46.00
26.00,49.00
26.00,50.00
26.00,52.00
26.00,53.00
26.00,54.00
26.00,58.00
26.00,59.00
26.00,60.00
26.00,61.00
26.00,62.00
26.00,63.00
26.00,64.00
26.00,66.00
26.00,70.00
26.00,71.00
27.00,24.00
27.00,26.00
27.00,27.00
27.00,28.00
27.00,29.00
27.00,32.00
27.00,34.00
27.00,37.00
27.00,38.00
27.00,39.00
27.00,40.00
27.00,44.00
27.00,46.00
27.00,47.00
27.00,51.00
27.00,52.00
27.00,53.00
27.00,54.00
27.00,55.00
27.00,56.00
27.00,57.00
