@Relation x
@attribute A1 real
@attribute A2 real
@data
28.00,36.00
29.00,35.00
29.00,36.00
29.00,38.00
30.00,33.00
30.00,34.00
30.00,35.00
30.00,37.00
30.00,38.00
30.00,39.00
31.00,33.00
31.00,35.00
31.00,38.00
31.00,39.00
32.00,33.00
32.00,35.00
32.00,36.00
32.00,38.00
32.00,39.00
33.00,32.00
33.00,33.00
33.00,34.00
33.00,35.00
33.00,36.00
33.00,37.00
33.00,38.00
34.00,35.00
34.00,38.00
34.00,39.00
34.00,40.00
35.00,33.00
35.00,36.00
35.00,37.00
35.00,39.00
35.00,40.00
35.00,41.00
35.00,42.00
36.00,34.00
36.00,37.00
36.00,41.00
36.00,42.00
37.00,37.00
37.00,43.00
38.00,38.00
38.00,40.00
39.00,40.00
39.00,42.00
39.00,43.00
39.00,44.00
39.00,45.00
40.00,41.00
40.00,43.00
40.00,44.00
41.00,39.00
41.00,40.00
41.00,41.00
41.00,42.00
41.00,43.00
41.00,44.00
41.00,45.00
41.00,46.00
42.00,38.00
42.00,39.00
42.00,40.00
42.00,41.00
42.00,43.00
42.00,45.00
42.00,46.00
42.00,47.00
43.00,39.00
43.00,41.00
43.00,43.00
43.00,44.00
44.00,44.00
44.00,45.00
44.00,46.00
44.00,47.00
45.00,42.00
45.00,43.00
45.00,45.00
45.00,46.00
45.00,47.00
45.00,49.00
46.00,43.00
46.00,44.00
46.00,46.00
46.00,47.00
46.00,48.00
46.00,49.00
47.00,43.00
47.00,45.00
47.00,47.00
47.00,48.00
47.00,49.00
47.00,50.00
47.00,51.00
48.00,42.00
48.00,43.00
48.00,44.00
48.00,47.00
48.00,48.00
48.00,49.00
49.00,45.00
49.00,46.00
49.00,47.00
49.00,48.00
49.00,49.00
49.00,50.00
49.00,51.00
49.00,52.00
49.00,53.00
50.00,45.00
50.00,47.00
50.00,50.00
50.00,51.00
50.00,52.00
50.00,53.00
51.00,46.00
51.00,48.00
51.00,51.00
51.00,52.00
51.00,53.00
52.00,46.00
52.00,47.00
52.00,48.00
52.00,49.00
52.00,50.00
52.00,52.00
52.00,53.00
52.00,54.00
53.00,46.00
53.00,47.00
53.00,49.00
53.00,51.00
53.00,53.00
53.00,55.00
53.00,56.00
54.00,48.00
54.00,49.00
54.00,50.00
54.00,51.00
54.00,52.00
54.00,54.00
54.00,56.00
55.00,49.00
55.00,50.00
55.00,51.00
55.00,53.00
55.00,55.00
55.00,56.00
55.00,57.00
56.00,49.00
56.00,50.00
56.00,51.00
56.00,53.00
56.00,54.00
56.00,56.00
56.00,58.00
57.00,50.00
57.00,51.00
57.00,52.00
57.00,53.00
57.00,56.00
57.00,57.00
57.00,59.00
58.00,50.00
58.00,51.00
58.00,56.00
58.00,57.00
58.00,58.00
58.00,59.00
58.00,60.00
59.00,51.00
59.00,54.00
59.00,55.00
59.00,56.00
59.00,58.00
60.00,53.00
60.00,54.00
60.00,55.00
60.00,56.00
60.00,57.00
60.00,58.00
60.00,60.00
60.00,61.00
61.00,53.00
61.00,55.00
61.00,56.00
61.00,58.00
61.00,59.00
61.00,61.00
62.00,54.00
62.00,55.00
62.00,56.00
62.00,58.00
62.00,59.00
62.00,60.00
62.00,61.00
62.00,62.00
63.00,55.00
63.00,57.00
63.00,63.00
63.00,64.00
64.00,56.00
64.00,57.00
64.00,58.00
64.00,59.00
64.00,60.00
64.00,64.00
64.00,65.00
65.00,57.00
65.00,60.00
65.00,61.00
65.00,63.00
65.00,66.00
65.00,67.00
66.00,62.00
66.00,64.00
66.00,65.00
66.00,66.00
66.00,68.00
67.00,59.00
67.00,60.00
67.00,61.00
67.00,62.00
67.00,66.00
67.00,67.00
67.00,68.00
68.00,60.00
68.00,61.00
68.00,65.00
68.00,67.00
69.00,66.00
69.00,71.00
70.00,62.00
70.00,63.00
70.00,65.00
70.00,68.00
71.00,63.00
71.00,64.00
71.00,65.00
71.00,66.00
72.00,65.00
72.00,70.00
72.00,71.00
72.00,73.00
73.00,65.00
73.00,71.00
73.00,72.00
74.00,68.00
74.00,72.00
74.00,73.00
74.00,74.00
75.00,69.00
75.00,70.00
75.00,71.00
75.00,73.00
76.00,67.00
76.00,68.00
76.00,70.00
76.00,72.00
76.00,73.00
76.00,75.00
77.00,70.00
77.00,72.00
77.00,74.00
77.00,75.00
77.00,77.00
78.00,70.00
78.00,71.00
78.00,72.00
78.00,75.00
78.00,76.00
78.00,77.00
78.00,79.00
79.00,70.00
79.00,72.00
79.00,74.00
80.00,72.00
80.00,74.00
80.00,76.00
80.00,78.00
81.00,73.00
81.00,74.00
81.00,77.00
81.00,78.00
81.00,80.00
81.00,81.00
82.00,75.00
82.00,76.00
83.00,78.00
83.00,79.00
83.00,81.00
83.00,82.00
84.00,75.00
84.00,78.00
84.00,79.00
84.00,80.00
84.00,81.00
85.00,77.00
85.00,78.00
