@Relation x
@attribute A1 real
@attribute A2 real
@data
19.00,43.00
19.00,45.00
19.00,46.00
19.00,47.00
19.00,48.00
19.00,50.00
19.00,52.00
19.00,54.00
19.00,56.00
19.00,58.00
19.00,59.00
19.00,60.00
19.00,61.00
19.00,62.00
19.00,64.00
19.00,65.00
19.00,66.00
19.00,67.00
19.00,68.00
20.00,41.00
20.00,42.00
20.00,43.00
20.00,44.00
20.00,45.00
20.00,46.00
20.00,47.00
20.00,48.00
20.00,49.00
20.00,51.00
20.00,52.00
20.00,53.00
20.00,54.00
20.00,55.00
20.00,56.00
20.00,57.00
20.00,58.00
20.00,61.00
20.00,63.00
20.00,66.00
20.00,69.00
21.00,37.00
21.00,39.00
21.00,40.00
21.00,41.00
21.00,42.00
21.00,43.00
21.00,44.00
21.00,47.00
21.00,48.00
21.00,49.00
21.00,50.00
21.00,52.00
21.00,53.00
21.00,54.00
21.00,55.00
21.00,57.00
21.00,58.00
21.00,59.00
21.00,60.00
21.00,62.00
21.00,64.00
21.00,65.00
21.00,66.00
21.00,67.00
21.00,68.00
21.00,69.00
21.00,70.00
21.00,71.00
22.00,37.00
22.00,38.00
22.00,39.00
22.00,40.00
22.00,41.00
22.00,42.00
22.00,43.00
22.00,44.00
22.00,45.00
22.00,46.00
22.00,49.00
22.00,50.00
22.00,51.00
22.00,53.00
22.00,54.00
22.00,55.00
22.00,56.00
22.00,57.00
22.00,58.00
22.00,61.00
22.00,63.00
22.00,64.00
22.00,65.00
22.00,66.00
22.00,68.00
22.00,69.00
23.00,32.00
23.00,33.00
23.00,34.00
23.00,35.00
23.00,36.00
23.00,37.00
23.00,38.00
23.00,39.00
23.00,42.00
23.00,43.00
23.00,44.00
23.00,46.00
23.00,47.00
23.00,53.00
23.00,54.00
23.00,56.00
23.00,59.00
23.00,60.00
23.00,61.00
23.00,62.00
23.00,63.00
23.00,64.00
23.00,71.00
23.00,72.00
23.00,73.00
23.00,74.00
24.00,32.00
24.00,33.00
24.00,34.00
24.00,35.00
24.00,36.00
24.00,37.00
24.00,38.00
24.00,40.00
24.00,41.00
24.00,72.00
24.00,73.00
24.00,74.00
25.00,26.00
25.00,27.00
25.00,28.00
25.00,29.00
25.00,31.00
25.00,33.00
25.00,34.00
25.00,36.00
25.00,37.00
25.00,71.00
25.00,73.00
25.00,74.00
25.00,75.00
26.00,26.00
26.00,27.00
26.00,29.00
26.00,30.00
26.00,31.00
26.00,32.00
26.00,35.00
26.00,36.00
26.00,72.00
26.00,73.00
26.00,76.00
26.00,77.00
27.00,24.00
27.00,25.00
27.00,28.00
27.00,29.00
27.00,30.00
27.00,74.00
27.00,75.00
27.00,76.00
28.00,23.00
28.00,25.00
28.00,26.00
28.00,27.00
28.00,28.00
28.00,29.00
28.00,77.00
28.00,78.00
29.00,22.00
29.00,23.00
29.00,25.00
29.00,74.00
29.00,76.00
30.00,21.00
30.00,23.00
30.00,24.00
30.00,25.00
30.00,75.00
30.00,76.00
30.00,77.00
31.00,20.00
31.00,21.00
31.00,22.00
31.00,24.00
31.00,78.00
31.00,79.00
32.00,19.00
32.00,20.00
32.00,23.00
32.00,78.00
32.00,79.00
32.00,80.00
33.00,19.00
33.00,20.00
33.00,22.00
33.00,78.00
33.00,79.00
33.00,80.00
33.00,81.00
34.00,18.00
34.00,19.00
34.00,20.00
34.00,21.00
34.00,22.00
34.00,23.00
34.00,77.00
34.00,78.00
34.00,79.00
34.00,81.00
35.00,20.00
35.00,21.00
35.00,22.00
35.00,78.00
35.00,79.00
35.00,80.00
35.00,81.00
35.00,82.00
36.00,18.00
36.00,19.00
36.00,20.00
36.00,21.00
36.00,22.00
36.00,79.00
36.00,80.00
36.00,81.00
36.00,82.00
37.00,18.00
37.00,19.00
37.00,21.00
37.00,22.00
37.00,49.00
37.00,53.00
37.00,56.00
37.00,59.00
37.00,61.00
37.00,80.00
37.00,81.00
37.00,82.00
37.00,83.00
38.00,20.00
38.00,22.00
38.00,45.00
38.00,46.00
38.00,47.00
38.00,55.00
38.00,56.00
38.00,57.00
38.00,58.00
38.00,59.00
38.00,60.00
38.00,61.00
38.00,62.00
38.00,63.00
38.00,79.00
38.00,82.00
38.00,83.00
39.00,18.00
39.00,40.00
39.00,43.00
39.00,45.00
39.00,54.00
39.00,56.00
39.00,57.00
39.00,58.00
39.00,61.00
39.00,62.00
39.00,63.00
39.00,64.00
39.00,80.00
39.00,81.00
39.00,82.00
39.00,83.00
40.00,20.00
40.00,36.00
40.00,38.00
40.00,39.00
40.00,40.00
40.00,42.00
40.00,43.00
40.00,44.00
40.00,45.00
40.00,46.00
40.00,47.00
40.00,49.00
40.00,50.00
40.00,52.00
40.00,54.00
40.00,56.00
40.00,57.00
40.00,59.00
40.00,60.00
40.00,61.00
40.00,62.00
40.00,63.00
40.00,80.00
40.00,81.00
40.00,82.00
40.00,83.00
40.00,84.00
41.00,18.00
41.00,21.00
41.00,22.00
41.00,34.00
41.00,35.00
41.00,36.00
41.00,37.00
41.00,39.00
41.00,40.00
41.00,41.00
41.00,42.00
41.00,43.00
41.00,44.00
41.00,47.00
41.00,50.00
41.00,51.00
41.00,52.00
41.00,53.00
41.00,55.00
41.00,58.00
41.00,62.00
41.00,63.00
41.00,64.00
41.00,65.00
41.00,80.00
41.00,81.00
41.00,82.00
41.00,84.00
41.00,85.00
42.00,18.00
42.00,19.00
42.00,20.00
42.00,21.00
42.00,34.00
42.00,35.00
42.00,36.00
42.00,37.00
42.00,38.00
42.00,39.00
42.00,40.00
42.00,43.00
42.00,44.00
42.00,62.00
42.00,63.00
42.00,67.00
42.00,81.00
42.00,82.00
42.00,83.00
43.00,18.00
43.00,19.00
43.00,20.00
43.00,21.00
43.00,32.00
43.00,33.00
43.00,34.00
43.00,41.00
43.00,42.00
43.00,43.00
43.00,63.00
43.00,64.00
43.00,65.00
43.00,66.00
43.00,67.00
43.00,68.00
43.00,69.00
43.00,81.00
43.00,82.00
43.00,83.00
43.00,84.00
44.00,18.00
44.00,19.00
44.00,20.00
44.00,21.00
44.00,22.00
44.00,32.00
44.00,33.00
44.00,38.00
44.00,64.00
44.00,65.00
44.00,67.00
44.00,68.00
44.00,69.00
44.00,82.00
44.00,83.00
44.00,85.00
45.00,18.00
45.00,19.00
45.00,21.00
45.00,22.00
45.00,34.00
45.00,35.00
45.00,36.00
45.00,65.00
45.00,67.00
45.00,68.00
45.00,70.00
45.00,81.00
45.00,83.00
45.00,84.00
46.00,18.00
46.00,20.00
46.00,22.00
46.00,32.00
46.00,33.00
46.00,34.00
46.00,36.00
46.00,67.00
46.00,68.00
46.00,69.00
46.00,70.00
46.00,83.00
46.00,84.00
46.00,86.00
47.00,19.00
47.00,21.00
47.00,22.00
47.00,32.00
47.00,33.00
47.00,34.00
47.00,67.00
47.00,68.00
47.00,69.00
47.00,70.00
47.00,71.00
47.00,82.00
47.00,83.00
47.00,84.00
47.00,85.00
47.00,86.00
48.00,18.00
48.00,33.00
48.00,34.00
48.00,35.00
48.00,36.00
48.00,68.00
49.00,19.00
49.00,21.00
49.00,32.00
49.00,34.00
49.00,67.00
49.00,68.00
49.00,69.00
49.00,70.00
49.00,82.00
49.00,83.00
50.00,18.00
50.00,19.00
50.00,20.00
50.00,22.00
50.00,32.00
50.00,33.00
50.00,34.00
50.00,36.00
50.00,51.00
50.00,52.00
50.00,68.00
50.00,69.00
50.00,83.00
50.00,84.00
50.00,86.00
51.00,18.00
51.00,19.00
51.00,20.00
51.00,21.00
51.00,33.00
51.00,36.00
51.00,51.00
51.00,53.00
51.00,68.00
51.00,69.00
51.00,70.00
51.00,71.00
51.00,72.00
51.00,84.00
51.00,85.00
51.00,86.00
52.00,19.00
52.00,20.00
52.00,51.00
52.00,52.00
52.00,53.00
52.00,54.00
52.00,55.00
52.00,68.00
52.00,69.00
52.00,70.00
52.00,72.00
52.00,83.00
52.00,85.00
52.00,86.00
52.00,87.00
53.00,19.00
53.00,21.00
53.00,33.00
53.00,34.00
53.00,55.00
53.00,56.00
53.00,69.00
53.00,70.00
53.00,71.00
53.00,72.00
53.00,83.00
53.00,85.00
53.00,86.00
54.00,19.00
54.00,20.00
54.00,21.00
54.00,22.00
54.00,33.00
54.00,34.00
54.00,35.00
54.00,37.00
54.00,52.00
54.00,55.00
54.00,56.00
54.00,69.00
54.00,70.00
54.00,71.00
54.00,83.00
54.00,84.00
54.00,85.00
54.00,86.00
54.00,87.00
55.00,19.00
55.00,34.00
55.00,35.00
55.00,36.00
55.00,54.00
55.00,55.00
55.00,56.00
55.00,57.00
55.00,58.00
55.00,69.00
55.00,70.00
55.00,83.00
55.00,84.00
55.00,85.00
56.00,20.00
56.00,21.00
56.00,22.00
56.00,34.00
56.00,35.00
56.00,36.00
56.00,37.00
56.00,54.00
56.00,56.00
56.00,58.00
56.00,69.00
56.00,70.00
56.00,71.00
56.00,72.00
56.00,73.00
56.00,83.00
56.00,84.00
57.00,38.00
57.00,54.00
57.00,55.00
57.00,56.00
57.00,57.00
57.00,69.00
57.00,70.00
57.00,71.00
57.00,72.00
57.00,73.00
57.00,83.00
57.00,84.00
57.00,85.00
57.00,86.00
58.00,18.00
58.00,19.00
58.00,20.00
58.00,21.00
58.00,22.00
58.00,34.00
58.00,35.00
58.00,36.00
58.00,37.00
58.00,55.00
58.00,56.00
58.00,57.00
58.00,58.00
58.00,71.00
58.00,72.00
58.00,84.00
58.00,85.00
58.00,86.00
59.00,18.00
59.00,21.00
59.00,35.00
59.00,37.00
59.00,38.00
59.00,39.00
59.00,56.00
59.00,58.00
59.00,72.00
59.00,73.00
59.00,84.00
59.00,86.00
59.00,87.00
60.00,19.00
60.00,20.00
60.00,21.00
60.00,22.00
60.00,23.00
60.00,38.00
60.00,39.00
60.00,40.00
60.00,54.00
60.00,56.00
60.00,57.00
60.00,58.00
60.00,69.00
