@Relation x
@attribute A1 real
@attribute A2 real
@data
16.00,46.00
16.00,48.00
16.00,49.00
16.00,50.00
17.00,45.00
17.00,46.00
17.00,48.00
17.00,49.00
17.00,50.00
18.00,45.00
18.00,46.00
18.00,47.00
18.00,48.00
18.00,49.00
18.00,50.00
18.00,51.00
19.00,45.00
19.00,46.00
19.00,48.00
19.00,49.00
19.00,50.00
19.00,52.00
20.00,23.00
20.00,27.00
20.00,45.00
20.00,46.00
20.00,47.00
20.00,48.00
20.00,49.00
20.00,51.00
20.00,52.00
20.00,75.00
21.00,22.00
21.00,27.00
21.00,45.00
21.00,46.00
21.00,47.00
21.00,48.00
21.00,49.00
21.00,50.00
21.00,51.00
21.00,52.00
21.00,73.00
21.00,76.00
22.00,22.00
22.00,25.00
22.00,27.00
22.00,46.00
22.00,49.00
22.00,72.00
22.00,73.00
22.00,75.00
22.00,76.00
22.00,77.00
22.00,78.00
23.00,22.00
23.00,24.00
23.00,25.00
23.00,26.00
23.00,29.00
23.00,45.00
23.00,46.00
23.00,48.00
23.00,49.00
23.00,50.00
23.00,51.00
23.00,72.00
23.00,73.00
23.00,75.00
23.00,76.00
24.00,23.00
24.00,24.00
24.00,26.00
24.00,27.00
24.00,29.00
24.00,31.00
24.00,45.00
24.00,46.00
24.00,47.00
24.00,48.00
24.00,49.00
24.00,50.00
24.00,72.00
24.00,73.00
24.00,74.00
24.00,75.00
24.00,77.00
24.00,78.00
24.00,79.00
25.00,23.00
25.00,24.00
25.00,25.00
25.00,26.00
25.00,28.00
25.00,30.00
25.00,31.00
25.00,32.00
25.00,45.00
25.00,47.00
25.00,48.00
25.00,49.00
25.00,50.00
25.00,51.00
25.00,67.00
25.00,68.00
25.00,71.00
25.00,72.00
25.00,74.00
25.00,75.00
25.00,76.00
25.00,77.00
26.00,23.00
26.00,24.00
26.00,25.00
26.00,26.00
26.00,31.00
26.00,32.00
26.00,33.00
26.00,44.00
26.00,45.00
26.00,46.00
26.00,47.00
26.00,48.00
26.00,67.00
26.00,68.00
26.00,69.00
26.00,70.00
26.00,73.00
26.00,74.00
26.00,75.00
27.00,26.00
27.00,27.00
27.00,28.00
27.00,29.00
27.00,30.00
27.00,31.00
27.00,32.00
27.00,33.00
27.00,34.00
27.00,35.00
27.00,44.00
27.00,66.00
27.00,67.00
27.00,69.00
27.00,73.00
27.00,74.00
27.00,75.00
27.00,76.00
27.00,77.00
28.00,25.00
28.00,26.00
28.00,27.00
28.00,28.00
28.00,30.00
28.00,31.00
28.00,36.00
28.00,44.00
28.00,46.00
28.00,47.00
28.00,49.00
28.00,50.00
28.00,51.00
28.00,65.00
28.00,66.00
28.00,68.00
28.00,70.00
28.00,71.00
28.00,72.00
28.00,74.00
28.00,75.00
28.00,76.00
29.00,25.00
29.00,27.00
29.00,28.00
29.00,29.00
29.00,30.00
29.00,34.00
29.00,35.00
29.00,44.00
