@Relation x
@attribute A1 real
@attribute A2 real
@data
28.00,36.00
29.00,34.00
29.00,35.00
29.00,37.00
29.00,38.00
30.00,33.00
30.00,34.00
30.00,35.00
30.00,37.00
30.00,39.00
31.00,33.00
31.00,34.00
31.00,36.00
31.00,37.00
31.00,38.00
31.00,39.00
32.00,33.00
32.00,34.00
32.00,35.00
32.00,36.00
32.00,37.00
32.00,38.00
32.00,39.00
33.00,36.00
33.00,37.00
34.00,33.00
34.00,35.00
34.00,36.00
34.00,37.00
34.00,40.00
35.00,33.00
35.00,35.00
35.00,36.00
35.00,38.00
35.00,39.00
35.00,40.00
35.00,42.00
36.00,34.00
36.00,35.00
36.00,36.00
36.00,40.00
36.00,41.00
36.00,42.00
37.00,35.00
37.00,36.00
37.00,37.00
37.00,38.00
37.00,39.00
37.00,40.00
37.00,42.00
38.00,36.00
38.00,38.00
38.00,39.00
39.00,39.00
39.00,40.00
39.00,42.00
40.00,37.00
40.00,38.00
40.00,40.00
40.00,41.00
40.00,43.00
40.00,44.00
40.00,45.00
41.00,39.00
41.00,40.00
41.00,46.00
42.00,38.00
42.00,39.00
42.00,40.00
42.00,41.00
42.00,44.00
42.00,45.00
43.00,39.00
43.00,40.00
43.00,41.00
43.00,42.00
43.00,45.00
43.00,46.00
43.00,47.00
44.00,40.00
44.00,42.00
44.00,43.00
44.00,45.00
44.00,46.00
44.00,48.00
45.00,41.00
45.00,42.00
45.00,43.00
45.00,47.00
45.00,49.00
46.00,44.00
46.00,46.00
46.00,49.00
47.00,42.00
47.00,46.00
47.00,48.00
47.00,49.00
47.00,50.00
47.00,51.00
48.00,43.00
48.00,44.00
48.00,45.00
48.00,48.00
48.00,49.00
48.00,51.00
49.00,48.00
49.00,49.00
49.00,50.00
49.00,51.00
49.00,52.00
49.00,53.00
50.00,45.00
50.00,47.00
50.00,48.00
51.00,46.00
51.00,49.00
51.00,50.00
51.00,51.00
51.00,52.00
52.00,46.00
52.00,49.00
