@Relation x
@attribute A1 real
@attribute A2 real
@data
16.00,46.00
16.00,47.00
16.00,48.00
16.00,50.00
17.00,45.00
17.00,46.00
17.00,47.00
17.00,48.00
17.00,49.00
17.00,51.00
18.00,45.00
18.00,47.00
18.00,48.00
18.00,49.00
18.00,50.00
18.00,51.00
19.00,45.00
19.00,46.00
19.00,47.00
19.00,48.00
19.00,49.00
19.00,50.00
19.00,52.00
20.00,49.00
20.00,52.00
21.00,46.00
21.00,47.00
21.00,48.00
21.00,49.00
21.00,52.00
22.00,46.00
22.00,47.00
22.00,50.00
22.00,51.00
23.00,45.00
23.00,47.00
23.00,48.00
23.00,49.00
23.00,50.00
23.00,51.00
24.00,47.00
24.00,48.00
24.00,49.00
24.00,50.00
24.00,51.00
25.00,45.00
25.00,46.00
25.00,47.00
25.00,48.00
25.00,50.00
25.00,51.00
26.00,44.00
26.00,48.00
26.00,49.00
26.00,51.00
27.00,48.00
27.00,49.00
27.00,50.00
27.00,51.00
28.00,44.00
28.00,46.00
28.00,47.00
28.00,48.00
28.00,49.00
29.00,47.00
29.00,48.00
29.00,49.00
29.00,50.00
29.00,51.00
30.00,47.00
30.00,48.00
30.00,51.00
31.00,44.00
31.00,45.00
31.00,46.00
31.00,49.00
31.00,50.00
31.00,51.00
32.00,45.00
32.00,46.00
32.00,47.00
32.00,49.00
32.00,51.00
33.00,44.00
33.00,45.00
33.00,46.00
33.00,50.00
33.00,51.00
33.00,52.00
34.00,45.00
34.00,48.00
34.00,49.00
34.00,51.00
35.00,45.00
35.00,47.00
35.00,48.00
35.00,49.00
35.00,50.00
35.00,52.00
36.00,44.00
36.00,45.00
36.00,49.00
36.00,50.00
36.00,52.00
37.00,49.00
37.00,50.00
37.00,51.00
38.00,48.00
38.00,50.00
39.00,46.00
39.00,47.00
39.00,48.00
39.00,49.00
41.00,44.00
41.00,45.00
41.00,46.00
41.00,47.00
41.00,48.00
41.00,50.00
42.00,46.00
42.00,47.00
42.00,48.00
42.00,49.00
42.00,50.00
42.00,51.00
43.00,29.00
43.00,38.00
43.00,46.00
43.00,47.00
43.00,48.00
43.00,50.00
43.00,51.00
43.00,52.00
43.00,56.00
43.00,57.00
43.00,63.00
43.00,65.00
43.00,67.00
43.00,68.00
43.00,70.00
43.00,78.00
43.00,83.00
44.00,23.00
44.00,24.00
44.00,27.00
44.00,28.00
44.00,32.00
44.00,46.00
44.00,47.00
44.00,48.00
44.00,49.00
44.00,50.00
44.00,51.00
44.00,54.00
44.00,60.00
44.00,61.00
44.00,65.00
44.00,71.00
44.00,72.00
44.00,74.00
44.00,76.00
44.00,77.00
44.00,78.00
44.00,79.00
44.00,80.00
44.00,84.00
44.00,85.00
45.00,9.00
45.00,10.00
45.00,11.00
45.00,12.00
45.00,14.00
45.00,15.00
45.00,16.00
45.00,17.00
45.00,21.00
45.00,22.00
45.00,23.00
45.00,24.00
45.00,25.00
45.00,31.00
45.00,32.00
45.00,36.00
45.00,38.00
45.00,41.00
45.00,43.00
45.00,45.00
45.00,46.00
45.00,47.00
45.00,48.00
45.00,52.00
45.00,53.00
45.00,55.00
45.00,57.00
45.00,60.00
45.00,62.00
45.00,64.00
45.00,65.00
45.00,66.00
45.00,67.00
45.00,68.00
45.00,69.00
45.00,70.00
45.00,71.00
45.00,72.00
45.00,73.00
45.00,74.00
45.00,77.00
45.00,80.00
45.00,82.00
45.00,83.00
45.00,84.00
45.00,85.00
45.00,86.00
46.00,8.00
46.00,9.00
46.00,10.00
46.00,17.00
46.00,18.00
46.00,19.00
46.00,20.00
46.00,21.00
46.00,22.00
46.00,25.00
46.00,27.00
46.00,28.00
46.00,29.00
46.00,30.00
46.00,34.00
46.00,36.00
46.00,38.00
46.00,40.00
46.00,44.00
46.00,45.00
46.00,46.00
46.00,47.00
46.00,51.00
46.00,53.00
46.00,54.00
46.00,55.00
46.00,57.00
46.00,58.00
46.00,59.00
46.00,61.00
46.00,63.00
46.00,64.00
46.00,66.00
46.00,67.00
46.00,68.00
46.00,70.00
46.00,72.00
46.00,75.00
46.00,76.00
46.00,77.00
46.00,78.00
46.00,80.00
46.00,81.00
46.00,82.00
46.00,83.00
46.00,84.00
46.00,85.00
46.00,86.00
47.00,11.00
47.00,12.00
47.00,13.00
47.00,15.00
47.00,19.00
47.00,20.00
47.00,22.00
47.00,23.00
47.00,24.00
47.00,27.00
47.00,28.00
47.00,29.00
47.00,35.00
47.00,39.00
47.00,41.00
47.00,42.00
47.00,45.00
47.00,46.00
47.00,47.00
47.00,50.00
47.00,51.00
47.00,52.00
47.00,53.00
47.00,55.00
47.00,56.00
47.00,58.00
47.00,59.00
47.00,60.00
47.00,61.00
47.00,62.00
47.00,63.00
47.00,64.00
47.00,65.00
47.00,67.00
47.00,72.00
47.00,73.00
47.00,74.00
47.00,75.00
47.00,76.00
47.00,78.00
47.00,79.00
47.00,80.00
47.00,81.00
47.00,83.00
48.00,13.00
48.00,14.00
48.00,16.00
48.00,22.00
48.00,23.00
48.00,25.00
48.00,27.00
48.00,33.00
48.00,35.00
48.00,39.00
48.00,40.00
48.00,41.00
48.00,42.00
48.00,43.00
48.00,44.00
48.00,45.00
48.00,48.00
48.00,49.00
48.00,50.00
48.00,51.00
48.00,52.00
48.00,54.00
48.00,57.00
48.00,59.00
48.00,60.00
48.00,61.00
48.00,62.00
48.00,64.00
48.00,65.00
48.00,66.00
48.00,67.00
48.00,68.00
48.00,69.00
48.00,70.00
48.00,79.00
48.00,80.00
48.00,81.00
48.00,82.00
48.00,83.00
48.00,84.00
48.00,85.00
48.00,86.00
49.00,8.00
49.00,9.00
49.00,10.00
49.00,11.00
49.00,14.00
49.00,18.00
49.00,19.00
49.00,20.00
49.00,21.00
49.00,26.00
49.00,30.00
49.00,34.00
49.00,36.00
49.00,37.00
49.00,40.00
49.00,46.00
49.00,47.00
49.00,48.00
49.00,49.00
49.00,50.00
49.00,51.00
49.00,53.00
49.00,54.00
49.00,55.00
49.00,56.00
49.00,57.00
49.00,60.00
49.00,61.00
49.00,62.00
49.00,63.00
49.00,64.00
49.00,65.00
49.00,67.00
49.00,68.00
49.00,69.00
49.00,70.00
49.00,73.00
49.00,75.00
49.00,76.00
49.00,77.00
49.00,82.00
49.00,83.00
49.00,84.00
49.00,85.00
49.00,86.00
50.00,8.00
50.00,11.00
50.00,12.00
50.00,13.00
50.00,14.00
50.00,15.00
50.00,16.00
50.00,17.00
50.00,18.00
50.00,21.00
50.00,22.00
50.00,27.00
50.00,32.00
50.00,33.00
50.00,38.00
50.00,40.00
50.00,47.00
50.00,48.00
50.00,49.00
50.00,50.00
50.00,51.00
50.00,52.00
50.00,54.00
50.00,55.00
50.00,56.00
50.00,57.00
50.00,60.00
50.00,61.00
50.00,63.00
50.00,64.00
50.00,65.00
50.00,66.00
50.00,67.00
50.00,68.00
50.00,74.00
50.00,75.00
50.00,77.00
50.00,78.00
50.00,80.00
50.00,81.00
50.00,82.00
50.00,83.00
50.00,85.00
51.00,10.00
51.00,11.00
51.00,14.00
51.00,20.00
51.00,22.00
51.00,23.00
51.00,44.00
51.00,45.00
51.00,46.00
51.00,49.00
51.00,51.00
51.00,65.00
51.00,67.00
51.00,69.00
51.00,73.00
51.00,74.00
51.00,76.00
51.00,78.00
51.00,79.00
51.00,83.00
52.00,11.00
52.00,12.00
52.00,44.00
52.00,47.00
52.00,48.00
52.00,49.00
52.00,50.00
52.00,51.00
53.00,44.00
53.00,46.00
53.00,47.00
53.00,48.00
53.00,49.00
54.00,45.00
54.00,46.00
54.00,49.00
54.00,50.00
55.00,44.00
55.00,48.00
56.00,45.00
56.00,47.00
56.00,49.00
56.00,50.00
57.00,45.00
57.00,47.00
57.00,49.00
57.00,50.00
58.00,43.00
58.00,45.00
58.00,46.00
58.00,47.00
58.00,48.00
58.00,49.00
59.00,45.00
59.00,46.00
60.00,43.00
60.00,44.00
60.00,45.00
60.00,46.00
