@Relation x
@attribute A1 real
@attribute A2 real
@data
34.00,77.00
34.00,82.00
35.00,76.00
35.00,80.00
35.00,81.00
35.00,84.00
35.00,85.00
36.00,74.00
36.00,75.00
36.00,81.00
36.00,83.00
36.00,84.00
36.00,86.00
36.00,88.00
37.00,76.00
37.00,79.00
37.00,80.00
37.00,81.00
37.00,82.00
37.00,85.00
37.00,88.00
38.00,72.00
38.00,73.00
38.00,76.00
38.00,80.00
38.00,82.00
38.00,87.00
39.00,75.00
39.00,80.00
39.00,81.00
39.00,85.00
39.00,86.00
39.00,90.00
39.00,91.00
40.00,72.00
40.00,74.00
40.00,76.00
40.00,78.00
40.00,80.00
40.00,82.00
40.00,83.00
40.00,85.00
41.00,71.00
41.00,72.00
41.00,73.00
41.00,74.00
41.00,76.00
41.00,77.00
41.00,78.00
41.00,81.00
41.00,82.00
41.00,85.00
41.00,88.00
41.00,89.00
41.00,90.00
42.00,71.00
42.00,72.00
42.00,75.00
42.00,78.00
42.00,81.00
42.00,83.00
42.00,84.00
42.00,85.00
42.00,87.00
42.00,89.00
43.00,72.00
43.00,76.00
43.00,79.00
43.00,80.00
43.00,81.00
43.00,83.00
43.00,84.00
43.00,85.00
43.00,86.00
43.00,88.00
43.00,90.00
43.00,92.00
44.00,71.00
44.00,72.00
44.00,75.00
44.00,79.00
44.00,80.00
44.00,85.00
44.00,86.00
44.00,87.00
44.00,89.00
44.00,92.00
45.00,72.00
45.00,73.00
45.00,74.00
45.00,77.00
45.00,79.00
45.00,82.00
45.00,87.00
45.00,90.00
45.00,91.00
45.00,92.00
45.00,93.00
46.00,70.00
46.00,71.00
46.00,72.00
46.00,74.00
46.00,76.00
46.00,77.00
46.00,78.00
46.00,79.00
46.00,82.00
46.00,89.00
46.00,90.00
46.00,92.00
47.00,71.00
47.00,79.00
47.00,80.00
47.00,83.00
47.00,85.00
47.00,86.00
47.00,87.00
47.00,89.00
47.00,90.00
48.00,70.00
48.00,72.00
48.00,73.00
48.00,77.00
48.00,78.00
48.00,80.00
48.00,81.00
48.00,84.00
48.00,86.00
48.00,89.00
48.00,92.00
49.00,67.00
49.00,72.00
49.00,78.00
49.00,79.00
49.00,80.00
49.00,82.00
49.00,83.00
49.00,85.00
49.00,86.00
49.00,87.00
49.00,89.00
49.00,90.00
49.00,91.00
49.00,92.00
50.00,68.00
50.00,74.00
50.00,75.00
50.00,76.00
50.00,79.00
50.00,80.00
50.00,81.00
50.00,83.00
50.00,87.00
50.00,89.00
51.00,65.00
51.00,67.00
51.00,68.00
51.00,69.00
51.00,70.00
51.00,71.00
51.00,73.00
51.00,75.00
51.00,76.00
51.00,78.00
51.00,79.00
51.00,85.00
51.00,86.00
