@Relation x
@attribute A1 real
@attribute A2 real
@data
9.00,17.00
9.00,52.00
10.00,11.00
10.00,12.00
10.00,13.00
10.00,15.00
10.00,16.00
10.00,18.00
10.00,19.00
10.00,52.00
10.00,55.00
10.00,56.00
10.00,58.00
10.00,63.00
10.00,69.00
11.00,12.00
11.00,14.00
11.00,15.00
11.00,16.00
11.00,17.00
11.00,18.00
11.00,19.00
11.00,20.00
11.00,50.00
11.00,51.00
11.00,52.00
11.00,53.00
11.00,54.00
11.00,55.00
11.00,59.00
11.00,63.00
11.00,67.00
11.00,70.00
11.00,87.00
12.00,10.00
12.00,12.00
12.00,14.00
12.00,17.00
12.00,18.00
12.00,19.00
12.00,49.00
12.00,50.00
12.00,52.00
12.00,54.00
12.00,56.00
12.00,57.00
12.00,61.00
12.00,62.00
12.00,63.00
12.00,64.00
12.00,66.00
12.00,67.00
12.00,74.00
12.00,75.00
12.00,76.00
12.00,77.00
12.00,82.00
12.00,85.00
12.00,86.00
12.00,88.00
13.00,10.00
13.00,11.00
13.00,13.00
13.00,15.00
13.00,16.00
13.00,17.00
13.00,18.00
13.00,21.00
13.00,50.00
13.00,53.00
13.00,55.00
13.00,57.00
13.00,62.00
13.00,63.00
13.00,64.00
13.00,65.00
13.00,66.00
13.00,68.00
13.00,71.00
13.00,72.00
13.00,73.00
13.00,75.00
13.00,76.00
13.00,77.00
13.00,89.00
13.00,90.00
14.00,10.00
14.00,11.00
14.00,12.00
14.00,14.00
14.00,20.00
14.00,49.00
14.00,52.00
14.00,53.00
14.00,54.00
14.00,55.00
14.00,58.00
14.00,60.00
14.00,62.00
14.00,65.00
14.00,66.00
14.00,67.00
14.00,70.00
14.00,71.00
14.00,72.00
14.00,76.00
14.00,79.00
14.00,81.00
14.00,84.00
14.00,85.00
14.00,86.00
14.00,89.00
15.00,10.00
15.00,11.00
15.00,12.00
15.00,14.00
15.00,15.00
15.00,18.00
15.00,19.00
15.00,52.00
15.00,55.00
15.00,56.00
15.00,60.00
15.00,61.00
15.00,63.00
15.00,66.00
15.00,69.00
15.00,70.00
15.00,71.00
15.00,72.00
15.00,73.00
15.00,78.00
15.00,79.00
15.00,81.00
15.00,85.00
15.00,91.00
16.00,11.00
16.00,13.00
16.00,14.00
16.00,15.00
16.00,17.00
16.00,18.00
16.00,19.00
16.00,53.00
16.00,55.00
16.00,57.00
16.00,61.00
16.00,63.00
16.00,64.00
16.00,66.00
16.00,67.00
16.00,72.00
16.00,73.00
16.00,75.00
16.00,76.00
16.00,77.00
16.00,78.00
16.00,79.00
16.00,80.00
16.00,81.00
16.00,82.00
16.00,84.00
16.00,85.00
16.00,86.00
16.00,87.00
16.00,88.00
16.00,89.00
17.00,12.00
17.00,13.00
17.00,14.00
17.00,16.00
17.00,17.00
17.00,18.00
17.00,20.00
17.00,21.00
17.00,22.00
17.00,61.00
17.00,63.00
17.00,65.00
17.00,74.00
17.00,76.00
17.00,79.00
17.00,80.00
17.00,81.00
17.00,84.00
17.00,85.00
17.00,87.00
17.00,89.00
18.00,16.00
18.00,17.00
18.00,19.00
18.00,21.00
18.00,22.00
18.00,63.00
18.00,69.00
18.00,74.00
18.00,77.00
18.00,78.00
18.00,81.00
18.00,84.00
18.00,87.00
18.00,89.00
19.00,21.00
19.00,22.00
19.00,76.00
19.00,83.00
19.00,84.00
