@Relation x
@attribute A1 real
@attribute A2 real
@data
25.00,34.00
26.00,33.00
26.00,34.00
26.00,35.00
26.00,36.00
26.00,38.00
27.00,32.00
27.00,33.00
27.00,34.00
27.00,36.00
27.00,37.00
27.00,38.00
27.00,39.00
27.00,48.00
28.00,30.00
28.00,31.00
28.00,33.00
28.00,34.00
28.00,35.00
28.00,36.00
28.00,37.00
28.00,38.00
28.00,43.00
28.00,44.00
28.00,45.00
28.00,46.00
28.00,47.00
28.00,51.00
28.00,53.00
28.00,54.00
28.00,56.00
28.00,60.00
29.00,28.00
29.00,29.00
29.00,30.00
29.00,31.00
29.00,32.00
29.00,33.00
29.00,34.00
29.00,35.00
29.00,38.00
29.00,39.00
29.00,41.00
29.00,44.00
29.00,48.00
29.00,51.00
29.00,52.00
29.00,54.00
29.00,55.00
29.00,56.00
29.00,57.00
29.00,58.00
29.00,59.00
29.00,60.00
29.00,63.00
30.00,28.00
30.00,30.00
30.00,32.00
30.00,33.00
30.00,34.00
30.00,35.00
30.00,36.00
30.00,38.00
30.00,39.00
30.00,40.00
30.00,41.00
30.00,42.00
30.00,45.00
30.00,47.00
30.00,48.00
30.00,49.00
30.00,50.00
30.00,51.00
30.00,52.00
30.00,54.00
30.00,55.00
30.00,56.00
30.00,60.00
30.00,61.00
30.00,62.00
30.00,64.00
30.00,65.00
31.00,27.00
31.00,29.00
31.00,30.00
31.00,31.00
31.00,32.00
31.00,35.00
31.00,36.00
31.00,37.00
31.00,38.00
31.00,40.00
31.00,41.00
31.00,42.00
31.00,43.00
31.00,44.00
31.00,45.00
31.00,46.00
31.00,49.00
31.00,50.00
31.00,52.00
31.00,53.00
31.00,54.00
31.00,55.00
31.00,57.00
31.00,58.00
31.00,59.00
31.00,64.00
31.00,65.00
31.00,66.00
31.00,67.00
32.00,26.00
32.00,27.00
32.00,30.00
32.00,33.00
32.00,36.00
32.00,37.00
32.00,38.00
32.00,41.00
32.00,42.00
32.00,43.00
32.00,49.00
32.00,50.00
32.00,51.00
32.00,52.00
32.00,53.00
32.00,54.00
32.00,55.00
32.00,56.00
32.00,58.00
32.00,59.00
32.00,60.00
32.00,67.00
33.00,29.00
33.00,32.00
33.00,33.00
33.00,34.00
33.00,35.00
33.00,36.00
33.00,37.00
33.00,38.00
33.00,39.00
33.00,40.00
33.00,42.00
33.00,43.00
33.00,49.00
33.00,50.00
33.00,51.00
33.00,53.00
33.00,55.00
33.00,56.00
33.00,57.00
33.00,58.00
33.00,59.00
33.00,62.00
33.00,63.00
33.00,64.00
33.00,66.00
33.00,67.00
33.00,69.00
33.00,71.00
33.00,72.00
33.00,73.00
34.00,28.00
34.00,31.00
34.00,32.00
34.00,33.00
34.00,36.00
34.00,37.00
34.00,38.00
34.00,40.00
34.00,41.00
34.00,42.00
34.00,43.00
34.00,46.00
34.00,47.00
34.00,48.00
34.00,49.00
34.00,50.00
34.00,51.00
34.00,55.00
34.00,56.00
34.00,60.00
34.00,61.00
34.00,62.00
34.00,63.00
34.00,65.00
34.00,67.00
34.00,68.00
34.00,69.00
34.00,70.00
34.00,71.00
34.00,72.00
35.00,31.00
35.00,32.00
35.00,33.00
35.00,34.00
35.00,36.00
35.00,37.00
35.00,40.00
35.00,42.00
35.00,43.00
35.00,47.00
35.00,49.00
35.00,50.00
35.00,51.00
35.00,52.00
35.00,54.00
35.00,55.00
35.00,56.00
35.00,59.00
35.00,60.00
35.00,61.00
35.00,62.00
35.00,64.00
35.00,69.00
35.00,70.00
35.00,71.00
35.00,73.00
35.00,74.00
36.00,33.00
36.00,38.00
36.00,39.00
36.00,40.00
36.00,42.00
36.00,43.00
36.00,50.00
36.00,51.00
36.00,53.00
36.00,54.00
36.00,55.00
36.00,56.00
36.00,57.00
36.00,58.00
36.00,59.00
36.00,60.00
36.00,61.00
36.00,62.00
36.00,63.00
36.00,64.00
36.00,65.00
36.00,66.00
36.00,68.00
36.00,70.00
36.00,71.00
36.00,72.00
36.00,73.00
36.00,74.00
36.00,75.00
37.00,31.00
37.00,32.00
37.00,33.00
37.00,34.00
37.00,35.00
37.00,36.00
37.00,37.00
37.00,38.00
37.00,39.00
37.00,41.00
37.00,42.00
37.00,43.00
37.00,45.00
37.00,46.00
37.00,48.00
37.00,49.00
37.00,53.00
37.00,54.00
37.00,57.00
37.00,59.00
37.00,63.00
37.00,64.00
37.00,66.00
37.00,68.00
37.00,69.00
37.00,70.00
37.00,71.00
37.00,73.00
37.00,74.00
38.00,32.00
38.00,33.00
38.00,34.00
38.00,35.00
38.00,44.00
38.00,47.00
38.00,48.00
38.00,49.00
38.00,50.00
38.00,51.00
38.00,52.00
38.00,53.00
38.00,54.00
38.00,55.00
38.00,56.00
38.00,59.00
38.00,60.00
38.00,62.00
38.00,63.00
38.00,68.00
38.00,71.00
38.00,72.00
38.00,74.00
39.00,31.00
39.00,41.00
39.00,42.00
39.00,43.00
39.00,48.00
39.00,49.00
39.00,50.00
39.00,51.00
39.00,52.00
39.00,53.00
39.00,54.00
39.00,55.00
39.00,56.00
39.00,58.00
39.00,60.00
39.00,62.00
39.00,63.00
39.00,64.00
39.00,65.00
39.00,67.00
39.00,68.00
39.00,69.00
39.00,70.00
39.00,71.00
39.00,72.00
39.00,73.00
40.00,30.00
40.00,31.00
40.00,33.00
40.00,35.00
40.00,36.00
40.00,38.00
40.00,39.00
40.00,41.00
40.00,42.00
40.00,43.00
40.00,44.00
40.00,45.00
40.00,48.00
40.00,51.00
40.00,52.00
40.00,53.00
40.00,54.00
40.00,55.00
40.00,56.00
40.00,59.00
40.00,60.00
40.00,61.00
40.00,62.00
40.00,63.00
40.00,64.00
40.00,65.00
40.00,67.00
40.00,68.00
40.00,69.00
40.00,70.00
40.00,71.00
40.00,72.00
40.00,73.00
41.00,31.00
41.00,33.00
41.00,34.00
41.00,35.00
41.00,36.00
41.00,37.00
41.00,38.00
41.00,39.00
41.00,42.00
41.00,45.00
41.00,46.00
41.00,47.00
41.00,48.00
41.00,50.00
41.00,51.00
41.00,52.00
41.00,53.00
41.00,55.00
41.00,56.00
41.00,57.00
41.00,58.00
41.00,59.00
41.00,60.00
41.00,61.00
41.00,62.00
41.00,64.00
41.00,65.00
41.00,66.00
41.00,67.00
41.00,68.00
41.00,70.00
41.00,72.00
41.00,73.00
42.00,31.00
42.00,32.00
42.00,34.00
42.00,37.00
42.00,38.00
42.00,39.00
42.00,40.00
42.00,43.00
42.00,44.00
42.00,45.00
42.00,46.00
42.00,48.00
42.00,49.00
42.00,50.00
42.00,56.00
42.00,58.00
42.00,59.00
42.00,60.00
42.00,61.00
42.00,62.00
42.00,63.00
42.00,64.00
42.00,65.00
42.00,66.00
42.00,68.00
42.00,69.00
42.00,70.00
42.00,71.00
42.00,73.00
42.00,74.00
43.00,29.00
43.00,30.00
43.00,31.00
43.00,32.00
43.00,33.00
43.00,35.00
43.00,37.00
43.00,41.00
43.00,42.00
43.00,43.00
43.00,44.00
43.00,46.00
43.00,47.00
43.00,48.00
43.00,50.00
43.00,51.00
43.00,52.00
43.00,54.00
43.00,55.00
43.00,56.00
43.00,58.00
43.00,59.00
43.00,61.00
43.00,63.00
43.00,64.00
43.00,65.00
43.00,66.00
43.00,68.00
43.00,69.00
43.00,70.00
43.00,72.00
43.00,73.00
43.00,74.00
44.00,28.00
44.00,30.00
44.00,34.00
44.00,36.00
44.00,41.00
44.00,43.00
44.00,45.00
44.00,47.00
44.00,48.00
44.00,51.00
44.00,52.00
44.00,53.00
44.00,55.00
44.00,56.00
44.00,59.00
44.00,60.00
44.00,61.00
44.00,62.00
44.00,63.00
44.00,66.00
44.00,67.00
44.00,68.00
44.00,69.00
44.00,70.00
44.00,71.00
44.00,72.00
44.00,73.00
45.00,29.00
45.00,30.00
45.00,31.00
45.00,32.00
45.00,38.00
45.00,39.00
45.00,40.00
45.00,41.00
45.00,42.00
45.00,43.00
45.00,45.00
45.00,58.00
45.00,60.00
45.00,61.00
45.00,67.00
45.00,68.00
45.00,69.00
45.00,70.00
45.00,71.00
46.00,29.00
46.00,31.00
46.00,32.00
46.00,36.00
46.00,37.00
46.00,38.00
46.00,42.00
46.00,43.00
46.00,44.00
46.00,46.00
46.00,48.00
46.00,49.00
46.00,51.00
46.00,57.00
46.00,61.00
46.00,62.00
46.00,63.00
46.00,65.00
46.00,66.00
46.00,67.00
46.00,68.00
46.00,69.00
46.00,71.00
47.00,28.00
47.00,29.00
47.00,33.00
47.00,35.00
47.00,36.00
47.00,37.00
47.00,38.00
47.00,39.00
