@Relation x
@attribute A1 real
@attribute A2 real
@data
10.00,88.00
11.00,84.00
11.00,86.00
11.00,87.00
11.00,88.00
12.00,81.00
12.00,84.00
12.00,85.00
12.00,87.00
12.00,88.00
13.00,80.00
13.00,82.00
13.00,84.00
13.00,85.00
13.00,87.00
14.00,82.00
14.00,84.00
14.00,85.00
14.00,86.00
14.00,87.00
14.00,90.00
15.00,85.00
15.00,86.00
15.00,89.00
15.00,90.00
16.00,81.00
16.00,82.00
16.00,83.00
16.00,84.00
16.00,85.00
16.00,86.00
16.00,89.00
16.00,90.00
16.00,91.00
17.00,80.00
17.00,82.00
17.00,83.00
17.00,85.00
17.00,86.00
17.00,87.00
17.00,90.00
18.00,82.00
18.00,84.00
18.00,88.00
18.00,91.00
19.00,85.00
19.00,88.00
19.00,89.00
19.00,90.00
20.00,83.00
20.00,84.00
20.00,85.00
20.00,86.00
20.00,90.00
21.00,83.00
21.00,85.00
21.00,89.00
21.00,90.00
22.00,87.00
22.00,88.00
22.00,90.00
25.00,35.00
26.00,33.00
26.00,34.00
26.00,35.00
26.00,38.00
27.00,32.00
27.00,33.00
27.00,34.00
27.00,35.00
27.00,36.00
27.00,37.00
27.00,38.00
27.00,39.00
27.00,48.00
28.00,33.00
28.00,34.00
28.00,35.00
28.00,37.00
28.00,38.00
28.00,39.00
28.00,41.00
28.00,43.00
28.00,44.00
28.00,45.00
28.00,48.00
28.00,51.00
28.00,53.00
28.00,54.00
28.00,57.00
28.00,60.00
29.00,28.00
29.00,29.00
29.00,30.00
29.00,31.00
29.00,34.00
29.00,35.00
29.00,37.00
29.00,38.00
29.00,39.00
29.00,40.00
29.00,42.00
29.00,43.00
29.00,44.00
29.00,50.00
29.00,51.00
29.00,52.00
29.00,53.00
29.00,54.00
29.00,55.00
29.00,56.00
29.00,57.00
29.00,60.00
29.00,61.00
29.00,62.00
30.00,29.00
30.00,30.00
30.00,38.00
30.00,39.00
30.00,40.00
30.00,41.00
30.00,42.00
30.00,44.00
30.00,45.00
30.00,46.00
30.00,47.00
30.00,48.00
30.00,49.00
30.00,57.00
30.00,59.00
30.00,62.00
30.00,63.00
30.00,64.00
30.00,65.00
31.00,27.00
31.00,29.00
31.00,30.00
31.00,31.00
31.00,33.00
31.00,34.00
31.00,39.00
31.00,40.00
31.00,42.00
